Class Index,Title,Description
3,High-risk danger for Commerce,"Early in 2002, Commerce Insurance of Webster placed a nearly \$23,000 bet on the gubernatorial candidacy of Democrat Shannon O'Brien."
1,Car blast targets Iraqi official,"A car bomb has exploded north of the Iraqi capital, killing two people and injuring four others, including the deputy provincial governor of Diyala."
1,Thatcher Posts Bail to End S.Africa House Arrest (Reuters),"Reuters - Mark Thatcher, arrested\in South Africa last week on suspicion of financing an\attempted coup in oil-rich Equatorial Guinea, was released from\house arrest Friday after posting 2 million rand bail."
1,Flooding Forces Evacuations in 3 States,"WHEELING, W.Va. - Hundreds of people evacuated their homes Sunday in parts of Ohio, West Virginia and Pennsylvania as rivers and small streams were swollen beyond their banks by the torrential rain dumped by remnants of Hurricane Ivan..."
1,Iran says nuclear plan is no secret,"TEHRAN, Iran -- Iran acknowledged Thursday that it plans to process tons of raw uranium, but said the UN nuclear watchdog agency was informed about the move long ago and accused the United States of sensationalizing the matter."
1,Immune find may help transplants,"Immune systems can perhaps accept tissues from people with other blood types, Canadian researchers find."
1,Hamas Member Escapes Damascus Bomb Blast,"A member of the Palestinian militant group Hamas escaped unhurt on Monday when a bomb blew up his car in the Syrian capital Damascus, a Palestinian source said."
2,Slumping Cubs get boost from Maddux,"Maddux threw seven shutout innings for his 302nd career win, and Baker got his 1,000th victory as a manager in Chicagos 5-2 win over the Montreal Expos on Monday night."
2,Laura Diaz Leads Tournament of Champions (AP),AP - Laura Diaz is too busy trying to win the Tournament of Champions to worry about qualifying for the season-ending event.
1,Mozambique Votes to Elect Successor to Chissano," MAPUTO (Reuters) - Mozambicans began voting on Wednesday in  presidential and parliamentary elections focusing on who will  succeed President Joaquim Chissano, stepping down after 18  years in office."
3,Is It Time to Stem Asia Deficits With a Weak Dollar?,"There is likely to be strong U.S. pressure on much of Asia next year, not just China, to allow a major depreciation of the dollar."
4,Sony Shows Off New Low-End Digicam (PC World),PC World -  #36;300 Cyber-shot squeezes high-end performance into its small package.
1,Blast rips through Pakistan mosque killing 22,At least 22 people have been killed and dozens more injured in what police say was a suicide attack at a crowded Shiite Muslim mosque in eastern Pakistan.
2,Hamm #39;s legacy should be for Olympic ideal,"Even though he has fled the perceived hostile atmosphere of Athens and the Olympic village for more friendly terrain in the United States, there is still time for Paul Hamm to do what #39;s right."
1,Israeli MPs Vote Historic Exit from Gaza,"The Israeli parliament is set for a historic vote on whether to withdraw from Gaza Strip after 37 years of occupation. The proposal of the withdrawal was made Monday in the Israeli Parliament by Prime Minister Ariel Sharon, causing heated debates."
3,Martha Stewart to serve time in West Virginia,"Martha Stewart is heading for  quot;Camp Cupcake. quot; She will serve her five-month prison term at a West Virginia facility, not one in Connecticut or Florida, as she had hoped."
4,Marvel Sues Over Role-Playing Game,"Marvel argues that the character creation engine in  quot;City of Heroes quot; easily allows players to design characters that are virtual copies of its own superheros, including  quot;The Incredible Hulk."
4,Turn yourself into a diamond: tips on having a good life,A think tank of British scientists has come up with a new way of quickening the intellect -- a brain-taxing spin on the old formula of 100 things to do before you die.
1,Pro-hunt demo ends at Hain's home,A demonstration by pro-hunt campaigners outside Peter Hain's home in south Wales comes to a peaceful end.
4,Ferrari's high-tech tune-up,"Dieter Gundel, head of racetrack electronics at Ferrari, says all strategy decisions are based on computer simulations."
4,New DVD Dual Layer HD-DVD/DVD Format,This is fantastic news and could possibly make the HD-DVD format the winner over the competing Blu-Ray technology.... Two Japanese companies said Tuesday they have developed a DVD that can play on both existing 
3,Airbus sees big demand for huge jets,LONDON Airbus has predicted that an average of 830 passenger aircraft will be built each year for the next two decades and that the new Airbus jumbo A380 will be so successful that Boeing will be forced to develop a competitor.
3,Stocks End Higher on Falling Oil Prices,Stocks edged higher Friday as another drop in oil prices helped Wall Street withstand the effects of a disappointing jobs creation report.
2,Woodgate to Face Stringent Medical,"Jonathan Woodgate #39;s medical with Real Madrid is by no means a formality, despite the confidence of Newcastle chairman Freddy Shepherd. "
4,"Eyeing Downturn, Chip Makers Trim Equipment Buying (Reuters)","Reuters - The semiconductor industry is showing\the first signs of slowing growth, trimming purchases of raw\materials and production equipment as demand slows, industry\executives and analysts said on Tuesday."
1,Sharon offers calm in absence of Palestinian attacks,Israeli PM says his country Israel will  #39;maintain calm #39; in absence of Palestinian militants attacks. JERUSALEM - Prime Minister Ariel Sharon said Israel would  quot;maintain the calm quot; in the absence of attacks 
3,Lockheed Earnings Up on Plane Sales,Lockheed's third-quarter earnings rose 41 percent behind higher sales of military transport planes and an increase in the company's IT business.
4,Data laws set storage agenda,"IBM is the latest storage giant to step up efforts to woo IT buyers, promising partitioning capabilities cribbed from its mainframe heritage, as well as space-saving formats and better server connectivity."
3,Oil Price Tops \$55; Heating Supply Low,Oil closed above \$55 a barrel yesterday for the first time as traders worried about low stockpiles of heating oil and strong economic growth in China.
2,Mashburn reportedly to miss next season,"The New Orleans Hornets #39; Jamal Mashburn will sit out all of next season on the injured list to ready himself for a final comeback attempt in 2005-06, NBA sources told ESPN."
4,Team Wants to Clone Human Embryos,"Harvard scientists ask the school's ethics board to allow production of embryonic stem cells. If approved, the controversial procedure would boost research that could lead to cures for many diseases."
1,Congo Struggles to Create Single Army (Reuters),Reuters - It is an old trick -- and one that has\been used by Congolese musicians and soccer players in the past\-- but it still angered many back home.
4,Science salutes its ocean giant,Deep-sea manned sub Alvin is hailed as it goes into retirement following 40 years of remarkable work.
4,"Hi honey, I #39;m virtually home alone",Australian mobile telephone users may be able to buy and woo virtual dates this year after the release of a Virtual Girlfriend game for 3G mobile telephones.
1,Arafat #39;s Medical Records Given to Palestinian Authority,Yasser Arafat #39;s nephew has turned over the late Palestinian leader #39;s medical records to a committee investigating the cause of his uncle #39;s death.
4,Smart little suckers,"A new generation of robotic vacuums is ready to do battle with dirt, dust and dog hair with more cleaning power and cunning than their ancestors could muster."
1,Two blasts kill 33 in central Pakistan,"Two bombs exploded at a gathering of Sunni radicals early Thursday in Multan in central Pakistan, killing at least 33 people and injuring dozens of others, said a police officer."
1,Infiltration bid foiled along LOC in J  amp; K,"Jammu, Aug. 28 (PTI): The army today foiled a major infiltration bid along the line of control in Rajouri sector of Jammu and Kashmir, official sources said."
3,Microsoft reports profits up 11,Demand in both the home and business software markets sees Microsoft's profits rise by 11 over three months. 
4,"Liberty Alliance names first director, new members","The Liberty Alliance Project, a global consortium aimed at developing and promoting standards for managing user identities on networks, now has its first executive director: Silicon Valley IT consultant Donal O'Shea."
4,UK watchdog sets out VoIP policy,The regulator for the UKs communications industries today set out details of its approach to new voice services such as Internet Telephony.
4,Calculating the Precise Distance to Doomsday,"Today's close passage of the relatively large asteroid, Toutatis, has presented astronomers with a new ruler to measure solar system distances. By using two telescopes separated by hundreds of miles, the classic parallax method validates the asteroid's orbital path..."
3,MACY #39;S WEST,ON THE ROMANCE OF THE TRADITIONAL STORE  quot;Some of the nostalgia stuff that people hark back to is lore and not fact. quot;. ON REACHING YOUNGER SHOPPERS  quot;They say that kids don #39;t want to shop where their parents shop.
3,Freddie Mac May Face SEC Action (Reuters),"Reuters - Freddie Mac (FRE.N), the No. 2 U.S.\mortgage finance company, on Wednesday said it may face civil\action from the U.S. Securities and Exchange Commission for\possible violations of securities laws."
4,IBM gives CICS a boost,"In a move to modernize its venerable line of mainframe-based CICS middleware, IBM on Wednesday introduced an updated version of its CICS Transaction Server that enables corporate IT administrators to extend the product to work better with SOAs (service-oriented architectures) through Web services."
4,Taiko: Drum Master ships to retail,Namco Hometek today announced that Taiko: Drum Master has shipped to North American retail outlets and is available starting today for the PlayStation 2. Taiko invites players to learn the art of the traditional Japanese drum through the use of a Taiko 
2,Is Gretzky going to coach the Coyotes when NHL resumes?,"After a summer in which they didn #39;t seriously interview a single candidate for the vacant position, why are the Coyotes still the only NHL team without a permanent head coach in place?"
4,Chartered to Manufacture AMD64 Processors in 2006,"AMD64 is a new computing platform that extends the ubiquitous x86 architecture to accommodate 64-bit processing. Formerly known as x86-64, AMDs enhancements to the x86 architecture allow users of laptops "
1,Porous Border Helps Iranian Smugglers (AP),AP - Kurdish Iranians in poor border towns are taking advantage of the porous boundary with Iraq to sneak into the country for coveted items  #151; like alcohol  #151; to sell back home.
4,Branson teams up with SpaceShipOne,British airline tycoon Richard Branson said Monday he has cut a deal with a US rocket ship company to take paying passengers into space.
3,"Bush: End of hurricane season time for reflection, celebration",Gov. Jeb Bush called Tuesday #39;s official end of the 2004 hurricane season a time of  quot;reflection and celebration quot; after Florida endured an unprecedented quartet 
2,Boras holds the line on Varitek and Lowe,"As much as the Red Sox want to prevent Jason Varitek from playing elsewhere next year, they had their last best chance this season to work out a deal with him in spring training. They have not negotiated with Varitek, a potential free agent, since then and will not have their next opportunity to reach an agreement ..."
3,IMF Chief Sees Potential Hazard in US Fiscal Policies,"he managing director of the International Monetary Fund, Rodrigo de Rato, said yesterday that the dollar would have to fall and the United States would have to tackle its growing indebtedness "
2,Power romps over rival,So much for the intense match between long-time rivals that was supposed to go down last night at the 2004 PACE Canadian Squash Classic.
2,Decision appealing for Kapler and Nixon,"Beware, titans of the legal world. There may be a new force in town.  quot;I'm going to hire the law firm of Kapler and Nixon, quot; Red Sox general manager Theo Epstein said after outfielders Gabe Kapler and Trot Nixon yesterday won the appeals of their three-game suspensions and \$1,000 fines for their roles in the July 24 bench-clearing incident with ..."
4,Sun submits mystery license to open source group,"A Sun Microsystems engineer chartered with directing the engineering effort to open source Solaris has published a new software license that could be used for the open-source release of Sun's Unix operating system. Though Sun is vague on details about the license, called the Common Development and Distribution License (CDDL), it is incompatible with Linux's software license."
2,Packers have their way on Favre day #39;,"BATTERING RAMS Packers have their way on Favre Day #39; Green Bay It was a sentimental and hopeful interlude at Lambeau Field, a Monday night spent in 28-degree chill for 70,385 fans to cherish Brett Favre #39;s glorious past and wonder just how far he might lead "
3,Toyota plans more Prius sales in US,"Toyota Motor Corp., the world #39;s largest seller of gasoline-electric automobiles, will double the number of Prius hybrid cars for sale in the United States next year to reduce the waiting period for customers."
1,U.S. Forces Launch Assault on Iraqi Rebels in Mosul," MOSUL, Iraq (Reuters) - U.S. and Iraqi forces launched an  offensive in Mosul on Tuesday to retake control of rebel-held  areas after a week of anarchy that has seen insurgents  attacking across Iraq's third largest city."
3,"MPAA touts lawsuits, new P2P-fighting software","com November 16, 2004, 12:19 PM PT. This priority retains its ranking at number five as more and more companies deploy Web services to share business logic, data and processes with each other and with clients."
2,Cricket: Aussie ecstasy Warne #39;s agony,BANGALORE - Australia comprehensively beat India on day five of the first cricket test yesterday but Shane Warne remained agonisingly short of Muttiah Muralitharan #39;s world record for the most career wickets.
1,Jordan king: Iraq unsafe for poll,Jordan #39;s King Abdullah says only extremists will gain if Iraqi elections go ahead as planned in January. In a text distributed in advance of an interview with the French daily newspaper 
2,Vogts #39; future still in the balance,The Scottish Football Association postponed a board meeting Tuesday that had been called to discuss the German #39;s future. Scotland has picked up just two points from its first three qualifying games for the 2006 World Cup.
3,Vodafone unveils advanced service,"LONDON Vodafone, the world #39;s biggest mobile phone operator, introduced long-delayed services like video calling across much of Europe on Wednesday, showing its cards four years after it got caught up in a \$100 billion-plus bidding frenzy that gripped the "
3,Alitalia secures 400m euro loan,Alitalia reaches agreement with the Italian government about a 400m euro loan needed to fund a major restructuring of the business and to ensure its survival.
2,Canada Romps,Ryan Smyth scored two goals to lead Canada to a 5-1 victory over Slovakia on Wednesday night in the World Cup of Hockey.
3,Dissecting the Merger,"Kmart Holding Corp. and Sears, Roebuck and Co. merged in an \$11 billion stock and cash deal that will create the country #39;s third-largest retailer, after Wal-Mart and Home Depot."
2,Thistle see an end to wanderings,Inverness Caledonian Thistle will finally be allowed to return to their own ground after half a season #39;s wanderings following a change of heart by the Scottish Premier League.
3,Tokyo bourse faces early 2005 slump before rebounding with economy (AFP),"AFP - Japanese stocks are expected to slip in early 2005 on a slowdown in the world's second-largest economy but should rebound later in the year in tandem with expected stronger growth, analysts said."
4,New Crop of Portable Players Nips at IPod (AP),"AP - Lauren, 11, saunters nonchalantly past a Discovery Channel store and a Gymboree clothing store at the mall. Then suddenly, the girl's eyes light up and she pulls her mother into an Apple Computer Inc. retail shop."
4,Analysts concerned about longer-than-expected G5 delays,Analysts from Prudential Equity Group and UBS are warning that delayed shipments of G5 chips from IBM could affect Apple Computer's bottom line
4,Supreme Court Says  #39;No #39; to RIAA Appeal,"The US Supreme Court passed on hearing an appeal from the Recording Industry Association of America, and let stand a lower court #39;s ruling that the RIAA must follow the guidelines of the 1998 "
4,IBM Builds Worlds Fastest Computer,A partially assembled prototype of a new IBM supercomputer set a record of 70.72 trillion transactions per second earlier this week.
3,Vivendi Universal sees better days ahead in 2004,PARIS : French media giant Vivendi Universal reported a surge in its net loss so far this year but forecast a sharp turnaround in its finances for all of 2004.
1,Arafat #39;s widow given medical files,"The widow of the late Palestinian leader Yasser Arafat has picked up his medical records from the Paris hospital where he died November 11, and was reviewing the information, her lawyers said."
2,Ireland beats South Africa,Ireland beat South Africa 17-12 Saturday for its first victory over the Springboks since 1965. Flyhalf Ronan O #39;Gara scored all the points at Lansdowne Road - the site of the last Ireland victory over the Springboks.
1,White House Shrugs Off N. Korea Comments (AP),"AP - The White House said Tuesday that North Korea's Kim Jong Il is engaging in ""more bluster"" by criticizing President Bush as a leader who is fomenting world unrest."
3,BellSouth Picks a COO,"BellSouth Corp. (NYSE: BLS - message board) today named Mark Feidler as its new chief operating officer, along with a host of other executive changes."
2,Kastor remains in awe of Radcliffe,The American woman who cruised past a broken Paula Radcliffe to win an Olympic marathon medal still believes that the 30-year-old world record-holder is the person to beat in New York on Sunday.
4,Google Launches Beta of SMS Search Queries,Google has launched a beta test to let US mobile phone and handheld device users tap into its search results via the short message service (SMS) platform.
2,Towers Stumps O's Again,"Former Oriole Josh Towers beats the O's for the second time in a week after allowing one run and seven hits in 5 1-3 innings as the Blue Jays triumph, 14-4, on Friday."
2,Class of '01 may graduate to free agency,"It happens at this time every year. And no, it's not the World Series or the Head of the Charles."
3,US government approves Cingular #39;s acquisition of AT amp;T Wireless,The US Federal Communications Commission (FCC) on Tuesday approved Cingular Wireless #39; 41-billion-US dollar acquisition of AT amp;T Wireless Services Inc.
1,"Crippled Canadian sub under tow, bound for Scotland (AFP)","AFP - The British-built Canadian submarine HMCS Chicoutimi, crippled since a fire at sea that killed one of its crew, was under tow, headed for Scotland where it was likely to arrive early next week."
2,resignation should be no surprise,DAVIE - General manager Rick Spielman #39;s voice cracked as he spoke about his good friend and -ulp  -mer colleague. President Eddie Jones said he sat in the auditorium crying as head coach Dave Wannstedt 
1,Ugandan rebels kill seven in raid,Fighters of the Lord's Resistance Army hack seven villagers to death in southern Sudan despite a truce.
1,French Socialist vote boost for EU constitution,"France #39;s pro-European Socialists are jubilant after a party referendum on the EU constitution produced a solid majority for the treaty, boosting its chances to win approval in a national plebiscite next year."
4,Photos: Handheld fever grips Japan,Consumers get psyched for the release of Nintendo and Sony gaming devices.
2,Athletics: Crying shame for Radcliffe as marathon dream dies in &lt;b&gt;...&lt;/b&gt;,ATHENS - Paula Radcliffe #39;s entrance to the Panathinaiko Stadium was not supposed to have been like this. For four years she has dreamed of setting the final garland on an honour-strewn career by arriving at 
1,170 miners trapped in China,"Beijing: At least 170 miners were trapped underground after a gas explosion on Sunday ignited a fire in a coalmine in north-west China #39;s Shaanxi province, reports said."
2,UPDATE 2-India peg back South Africa despite Kallis ton,Jacques Kallis hit his 17th test century but India #39;s fast bowlers took wickets at regular intervals to restrict South Africa to 227 for five on the first day of the second and final test on Sunday.
1,South African President Mbeki holds new talks on Ivory Coast,President Thabo Mbeki met with Ivory Coast Prime Minister Seydou Diarra for three hours yesterday as part of talks aimed at bringing peace to the conflict-wracked Ivory Coast.
3,"Dow Slides to Year Low on Oil, Microsoft"," NEW YORK (Reuters) - The blue-chip Dow closed at its lowest  point this year on Friday as oil prices climbed to another  record and Microsoft Corp.'s &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MSFT.O target=/stocks/quickinfo/fullquote""&gt;MSFT.O&lt;/A&gt; revenue forecast lagged  analysts' expectations."
3,Pace of U.S. Factory Growth Climbs in Dec," NEW YORK (Reuters) - The pace of growth at U.S. factories  picked up in December, boosted by an increase in new orders and  despite a decline in employment, a report showed on Monday."
2,Bellamy: I #39;ll fight for my place,Newcastle striker Craig Bellamy insists that he is happy to knuckle down and fight for his place after helping to fire his side closer to the UEFA Cup knock-out stages.
1,Arabs: Terror War Has Spread Instability (AP),"AP - Victims of the Sept. 11 attacks were mourned worldwide Saturday, but in the Middle East, amid sympathy for the dead, Arabs said Washington's support for Israel and the war on terror launched in the aftermath of the World Trade Center's collapse have only fueled anger and violence."
3,RealNetworks offers discounts to students,SEATTLE -- RealNetworks Inc. will begin offering some university students its digital music subscription service at a steep discount in an effort to stem illegal downloads and attract long-term customers.
3,"Marsh  amp; McLennan forecast slashed, stock slides",Shares of insurance brokerage Marsh  amp; McLennan Cos. continued their slide Monday as analysts said the firms suspension of contingency commission arrangements would sharply cut earnings.
2,Chase for the Cup underway,These are some of the questions waiting to be answered heading into this weekend #39;s first race of NASCAR #39;s inaugural Chase for the Championship.
4,MPAA Sues P2P Movie Fans to Reduce Piracy,"LOS ANGELES (Zap2it.com) - File-swappers beware. Illegally downloading movies can now get you sued. Like the recording companies, movie studios are fed up with computer users sharing unauthorized copies of "
2,Junqueira drive his best yet,Bruno Junqueira may not end up winning the 2004 Champ Car World Series title. But he might look back on the Surfers Paradise weekend as the point where he came of age as a complete driver.
4,"Los Alamos crackdown imperils US, lab physicist warns",A Los Alamos National Laboratory physicist charged Friday that  quot;national security has suffered demonstrably quot; and the nuclear weapons lab #39;s reputation has been unjustly maligned because of director George  quot;Pete quot; Nanos #39; decision in July to suspend work at 
3,Campbell Soup Co. Profit Falls 20 Percent,"Campbell Soup Co. (CPB.N: Quote, Profile, Research) , the world #39;s largest soupmaker, on Monday said quarterly net profit fell 20 percent as it increased spending on marketing and took a charge related to job cuts."
1,Ontario court orders new trial for Baltovich 12 years after murder conviction (Canadian Press),"Canadian Press - TORONTO (CP) - Ontario's highest court has ordered a new trial for Robert Baltovich, convicted on circumstantial evidence 12 years ago in the murder of his girlfriend."
2,Carter placed on injured list with strained Achilles tendon,TORONTO (CP) - The Raptors placed Vince Carter on the injured list Friday with a strained left Achilles tendon. The guard/forward injured his Achilles in the first minute of the second half of Toronto #39;s loss at Detroit on Wednesday night.
1,Banned Basque party calls for peace talks,"unveiled a plan to end the long-running conflict in the region, saying it wants peace talks. demilitarising the 36-year-old conflict and a referendum in the Basque country on its future."
1,Newfoundland's flag flap with Ottawa raises ire among some Labradorians (Canadian Press),"Canadian Press - HAPPY VALLEY-GOOSE BAY, Nfld. (CP) - Hurt and insulted by their premier's decision to pull down Canadian flags across the province, some patriotic Labradorians plan to raise the Maple Leaf in protest Tuesday."
1,Dutch Steelmaker Buying ISG in  #36;4.5B Deal (AP),"AP - Steel tycoon Lakshmi N. Mittal announced plans to pay  #36;4.5 billion in cash and stock for U.S. steelmaker International Steel Group Inc., which had been cobbled together by onetime investment banker Wilbur L. Ross Jr. from mills whose parents landed in bankrupcty court."
1,Troops close in on  #39;death triangle #39;,BAGHDAD: US-led forces swept hotspots in the  quot;triangle of death quot; yesterday in a push to reclaim rebel enclaves ahead of January polls.
2,The Red Sox Are Passing Baseball's Chemistry Test,"As Boston aims for a first-round playoff sweep over the Anaheim Angels on Friday at Fenway, the Red Sox are positively giddy."
3,Alitalia union may agree job cuts,A union leader at Alitalia says for the first time that he may consider job losses to help secure the future of the troubled Italian carrier.
1,UAE president dies at 86,"United Arab Emirates President and ruler of Abu Dhabi Sheik Zayed bin Sultan al-Nayhan died Tuesday, official television reports. He was 86."
1,"Algeria Security Feared Behind 5,200 Deaths"," ALGIERS (Reuters) - Algerian security forces members are  believed responsible for the deaths of 5,200 civilians who  disappeared during a decade-long struggle with Islamic rebels  and should face justice, a government-appointed official said."
1,Quinn may leave hospital tomorrow,"The pregnant former lover of David Blunkett who has been receiving treatment for stress-related complications may be released from hospital tomorrow, according to her husband."
2,Beckham aims to bend it with Zidane,Paris - David Beckham and Real Madrid team-mates Zinedine Zidane and Raul have signed to play themselves in a Los Angeles-produced movie called Goal!. Variety magazine reports that the \$100-million trilogy 
2,Silva could miss group stage of Champions League due to bad back,Arsenal midfielder Gilberto Silva could miss the entire group stage of the Champions League plus a handful of Premier League games due to an ailing back.
2,No. 4 Calif. Routs Stanford in Big Game (AP),AP - J.J. Arrington ran for 169 yards to set California's single-season rushing record and the fourth-ranked Golden Bears beat Stanford 41-6 on Saturday for their biggest victory in the Big Game since 1930.
1,Britain says Iran is risking UN action,"LONDON -- Iran risks action by the United Nations Security Council if it breaks a promise to suspend uranium enrichment activity by November, Britain said yesterday. Tehran defiantly declared it has a right to continue its program."
2,Japanese bank joins battle for control of Manchester United,A Japanese investment bank is exploring ways of blocking a possible takeover of Manchester United by American businessman Malcolm Glazer.
4,Amazon.com Web Site Resumes Operations (AP),AP - Amazon.com said that its Web site experienced slowdowns for much of the day Monday but was running normally by evening.
1,Lebanese Cabinet Votes to Extend President #39;s Term in Office,Lebanon #39;s Cabinet voted Saturday to amend the country #39;s constitution to permit President Emile Lahoud to stay in office for three more years after his present term ends.
2,"Davis Cup Tennis: For US and Spain, a little psychic compensation","The Davis Cup is tennis #39;s best way of compensating, and that #39;s no reference to prize money, which is not the reason most of the world #39;s top men #39;s players still look forward to this century-old team competition."
1,Thais look to sky for hope,"THE Thai military turned to the power of origami yesterday in its attempt to bring peace to the countrys restive south. Air force planes dropped 100 million paper birds over the area, where fighting between "
1,"Despite 6 refusals, NATO will increase Iraq training staff","BRUSSELS The North Atlantic Treaty Organization agreed on Thursday to enlarge from 60 to 300 the number of personnel stationed in Baghdad to train Iraqi soldiers, but not before there was a contentious discussion with the foreign ministers of six "
3,Murdoch acts to block rival #39;s takeover bid,Rupert Murdoch #39;s News Corporation today took steps to head off a potential takeover by rival mogul John Malone with a  quot;poison pill quot; plan to dilute the shareholdings of would-be predators.
2,Wenger keeps up Red Devils attacks,Ruud van Nistelrooy #39;s apology to Ashley Cole does not look like ending his feud with Arsenal after Arsene Wenger launched another bitter attack on the Dutchman - and his club.
2,Paula devastated over marathon agony,"An emotional Paula Radcliffe said today that she is mystified as to why, despite her thorough preparations, she was unable to complete yesterday #39;s marathon race."
1,Iraq forces 'need extra US help',The senior US general in Iraq expresses concern about the ability of Iraqi forces to cope with election security.
1,Poll Shows Chechen Police Official in Lead,"GROZNY, Russia - The Russian government's choice for president of war-ravaged Chechnya appeared to be the victor Sunday in an election tainted by charges of fraud and shadowed by last week's terrorist destruction of two airliners.    Little more than two hours after polls closed, acting Chechen president Sergei Abramov said preliminary results showed Maj..."
1,IAEA team leaves after week-long inspection in South Korea (AFP),"AFP - United Nations inspectors left after a week-long investigation into South Korea's past secret experiments with potential ingredients for nuclear bombs, officials said."
4,First Look: MusicMatch Jukebox's Impressive Version 10,Free software helps organize large music collections.
1,Straw justifies Mugabe handshake,Jack Straw defends his handshake with Zimbabwe's much criticised President Robert Mugabe.
4,IT execs optimistic about ways to connect,"OCTOBER 12, 2004 (IDG NEWS SERVICE) - The high-tech industry is finally heading towards a recovery after the postbubble decline, but we are not quite there yet, according to executives and industry watchers at the fifteenth annual Etre technology "
2,O #39;Connor turns down award,Showjumping gold medal winner Cian O #39;Connor has decided not to accept the Irish Person of the Year award because his horse has failed a drugs test.
3,"Sprint, SBC Set Hot Spot Pact",Sprint (FON:NYSE - news - research) and SBC Communications (SBC:NYSE - news - research) set a plan that will give their customers access to both companies #39; Wi-Fi Internet service hot spots.
3,"Microsoft Profit, Revenue Rise"," SEATTLE (Reuters) - Microsoft Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MSFT.O target=/stocks/quickinfo/fullquote""&gt;MSFT.O&lt;/A&gt;on Thursday  said its quarterly profit climbed as revenue rose 12 percent,  but its shares fell as investors failed to account for the  effect of the expensing of stock-based compensation in  assessing the earnings."
3,US Congress agrees huge tax bill,A corporate tax bill offering huge tax breaks to US manufacturers in return for removing export subsidies is approved by Congress.
3,Old age a 'burden' to employers,"Old age is ""an illness for which there is no cure"" for many employers, according to new research."
1,Russia #39;s Putin Skeptical About Iraq Election,Russian President Vladimir Putin says he cannot imagine how Iraq could hold its elections (planned for next month) as long as the country remains under what he called foreign occupation.
3,Architectural Benefactor J. Irwin Miller Dies,"J. Irwin Miller, 95, the industrialist and philanthropist who guided Cummins Engine Co. to international prominence and helped shape his home town of Columbus, Ind., into an architectural gem, died Aug. 16 at his home in Columbus. No cause of death was ..."
2,Go-Go Boots May Have Helped Pitcher Who Got Shot,"KANSAS CITY, Mo. -- The Indians front office wants to find out why one of its players got shot on the team bus Wednesday night in Kansas City."
4,Better Browser Now The Best,"Except for times when I use one online database that supports Microsoft #39;s (nasdaq: MSFT - news - people ) dismal excuse for a browser, I never have much use for the blue lower-case  quot;e quot; on my desktop."
1,'Tough on terror' platform reigns (USATODAY.com),"USATODAY.com - One TV ad shows a dark-haired ""terrorist"" scoping out a nuclear power plant through binoculars and taking photos of a passing train. Another shows black smoke pouring from the World Trade Center towers."
1,"US continues airstrikes, ground assaults against insurgent targets &lt;b&gt;...&lt;/b&gt;","US Marines clashed with insurgents on the outskirts of the rebel bastion of Fallujah and launched airstrikes at militant targets, the US command said Friday."
3,Walgreen Qtrly Profit Rises 30.5 Pct," CHICAGO (Reuters) - Walgreen Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=WAG.N target=/stocks/quickinfo/fullquote""&gt;WAG.N&lt;/A&gt; on Monday posted a  30.5 percent rise in quarterly profit, boosted by sales of  generic drugs and digital photo processing, sending its shares  to a nearly three-year high."
2,Jets Rookie Coleman Comes Up Big in Opener (AP),AP - New York Jets safety Erik Coleman got his souvenir football from the equipment manager and held it tightly.
2,Getting Greene #39;s GOAT a chore worthy of an Olympic medal,"The tattoo on Maurice Greene #39;s right shoulder succinctly sums up where he feels he ranks in the world of sprinting.  quot;Greatest of all time, quot; he will shout after a victory while thumping it."
1,Ex-Costa Rica leader held in jail,A court in Costa Rica orders former president Rafael Angel Calderon be held ahead of his trial on corruption charges.
4,Calif. to Sue Diebold Over False Claims (Reuters),Reuters - California Attorney General Bill\Lockyer said on Tuesday he would sue electronic voting machine\maker Diebold Inc.  on charges it defrauded the state\with false claims about its products.
4,Anglers Have Big Impact on Fish Numbers -- Study (Reuters),"Reuters - Recreational anglers may be\responsible for landing nearly 25 percent of over-fished salt\water species caught off U.S. coasts, a study released on\Thursday suggests."
3,Doctors Debate the Safety of Celebrex,"Concerns that Celebrex may increase the risk of heart attack could keep what is still a relatively safe medication away from patients who suffer from arthritis and other painful ailments, some doctors say."
2,Happy return for Youkilis,"If you don't think Kevin Youkilis is happy to be back in the Red Sox lineup, consider this: He was in his uniform and on the field three hours before last night's game against the Devil Rays."
3,Wal-Mart CEO Sees Strong Finish to Year,"Wal-Mart Stores Inc. #39;s (WMT.N: Quote, Profile, Research) Chief Executive Lee Scott is  quot;optimistic quot; about the holiday season and expects a  quot;strong finish quot; to the year, he said on Tuesday."
4,Verizon Considering Move to Va.,"Verizon Communications Inc., which has been in discussions with New York and New Jersey over whether to keep its headquarters in Manhattan, has put out feelers to Virginia as well..&lt;br&gt;&lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2"" color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/B&gt;&lt;/FONT&gt;"
4,Ballmer Says Apple Won #39;t Dominate Digital Technology,"Microsoft chief executive Steve Ballmer said in London yesterday that the future of digital technology in the home will be with Microsoft, not Apple."
